year,tmID,confID,rank,firstRound,semis,finals,o_fgm,o_ftm,o_dreb,o_reb,o_asts,o_pf,o_stl,o_blk,d_fgm,d_ftm,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_blk,won_x,lost_x,GP,confW,confL,win_loss_ratio,ORtg,DRtg,NRtg,TSht_x,OReb,DReb,Reb,3PtR,PPG_x,playoff_qualification,W,L,points,rebounds,assists,steals,blocks,turnovers,TSht_y,AstTO,RebP,ORebP,DRebP,StlR,BlkR,PPG_y,num_awards,won_y,lost_y,post_wins,post_losses
9,LAS,WE,7.0,0.0,0.0,0.0,940.0,493.0,783.0,1139.0,554.0,732.0,245.0,107.0,954.0,609.0,191.0,537.0,1179.0,616.0,605.0,290.0,137.0,10.0,24.0,34.0,6.0,16.0,0.294,0.906,0.977,-0.071,0.491,0.299,0.701,0.299,0.351,74.5,0.0,,,2813.5,1504.0,458.0,245.0,205.0,596.0,0.464,0.796,0.171,0.05,0.121,0.03,0.02,6.31,2.0,10.0,24.0,0.0,0.0
10,LAS,WE,3.0,1.0,0.0,0.0,954.0,539.0,896.0,1282.0,613.0,713.0,251.0,216.0,888.0,562.0,185.0,547.0,1127.0,513.0,717.0,303.0,141.0,20.0,14.0,34.0,12.0,8.0,0.588,0.933,0.9,0.033,0.507,0.334,0.666,0.334,0.311,76.412,1.0,3.0,3.0,3549.2,1597.4,742.0,335.0,236.85,784.85,0.494,0.99,0.183,0.051,0.13,0.039,0.024,10.2,3.0,20.0,14.0,3.0,3.0
2,MIA,EA,6.0,0.0,0.0,0.0,647.0,452.0,595.0,960.0,415.0,707.0,272.0,88.0,715.0,454.0,117.0,315.0,923.0,416.0,661.0,247.0,118.0,13.0,19.0,32.0,9.0,12.0,0.406,0.823,0.908,-0.085,0.443,0.36,0.64,0.36,0.274,57.219,0.0,,,1729.0,865.0,376.0,237.0,50.0,425.0,0.455,0.801,0.132,0.048,0.081,0.04,0.005,4.87,0.0,13.0,19.0,0.0,0.0
3,MIA,EA,3.0,0.0,0.0,0.0,754.0,356.0,651.0,943.0,467.0,602.0,300.0,153.0,679.0,420.0,120.0,395.0,968.0,388.0,538.0,259.0,87.0,20.0,12.0,32.0,14.0,7.0,0.625,0.894,0.865,0.029,0.481,0.304,0.696,0.304,0.315,61.156,1.0,1.0,2.0,1914.0,882.0,428.0,277.0,92.0,422.0,0.458,0.798,0.147,0.049,0.097,0.034,0.011,5.031,1.0,20.0,12.0,1.0,2.0
2,MIN,WE,6.0,0.0,0.0,0.0,770.0,449.0,612.0,870.0,495.0,690.0,237.0,63.0,755.0,514.0,164.0,481.0,977.0,472.0,707.0,275.0,130.0,15.0,17.0,32.0,5.0,16.0,0.469,0.941,0.946,-0.005,0.524,0.276,0.724,0.276,0.357,68.531,0.0,,,1876.75,638.75,333.0,185.75,53.0,392.0,0.484,0.707,0.116,0.035,0.077,0.029,0.008,5.303,1.0,15.0,17.0,0.0,0.0
3,MIN,WE,6.0,0.0,0.0,0.0,671.0,559.0,693.0,1001.0,437.0,695.0,210.0,127.0,752.0,499.0,153.0,472.0,1016.0,511.0,719.0,259.0,126.0,12.0,20.0,32.0,9.0,12.0,0.375,0.892,0.92,-0.028,0.488,0.309,0.691,0.309,0.319,64.906,0.0,,,1959.0,779.0,307.0,171.0,85.0,412.0,0.461,0.998,0.141,0.049,0.092,0.035,0.019,6.696,0.0,22.0,25.95,0.0,2.05
4,MIN,WE,8.0,0.0,0.0,0.0,727.0,383.0,650.0,959.0,466.0,617.0,226.0,102.0,747.0,469.0,141.0,389.0,914.0,495.0,618.0,273.0,117.0,10.0,22.0,32.0,6.0,15.0,0.312,0.89,0.939,-0.049,0.494,0.336,0.664,0.336,0.332,62.594,0.0,,,1865.6,723.8,373.0,206.0,60.0,380.0,0.437,0.836,0.138,0.047,0.089,0.028,0.011,5.958,0.0,11.4,9.4,0.0,2.65
5,MIN,WE,4.0,0.0,0.0,0.0,875.0,450.0,718.0,1079.0,580.0,634.0,242.0,101.0,878.0,473.0,141.0,446.0,989.0,528.0,666.0,271.0,126.0,18.0,16.0,34.0,14.0,10.0,0.529,0.972,0.956,0.016,0.528,0.356,0.644,0.356,0.344,70.0,1.0,1.0,2.0,1954.0,857.0,559.5,229.0,90.0,523.5,0.467,0.801,0.123,0.035,0.084,0.03,0.011,5.475,0.0,18.0,16.0,1.0,2.0
6,MIN,WE,3.0,0.0,0.0,0.0,767.0,454.0,724.0,1056.0,526.0,660.0,257.0,139.0,804.0,490.0,92.0,330.0,1036.0,508.0,676.0,333.0,133.0,18.0,16.0,34.0,12.0,10.0,0.529,0.879,0.896,-0.017,0.496,0.318,0.682,0.318,0.327,63.676,1.0,0.0,2.0,1577.6,744.0,386.0,168.0,125.0,414.6,0.439,0.975,0.125,0.038,0.084,0.031,0.017,4.304,0.0,18.0,16.0,0.0,2.0
7,MIN,WE,6.0,0.0,0.0,0.0,801.0,437.0,715.0,1025.0,531.0,624.0,258.0,127.0,862.0,435.0,129.0,376.0,1055.0,537.0,665.0,275.0,144.0,14.0,20.0,34.0,9.0,13.0,0.412,0.907,0.944,-0.037,0.5,0.304,0.696,0.304,0.35,65.029,0.0,,,1331.0,635.0,303.0,144.0,106.0,341.0,0.454,0.862,0.13,0.032,0.095,0.035,0.017,4.875,0.0,19.95,27.65,0.0,2.35
8,MIN,WE,7.0,0.0,0.0,0.0,945.0,485.0,804.0,1144.0,491.0,654.0,193.0,113.0,1004.0,548.0,179.0,542.0,1204.0,625.0,633.0,308.0,124.0,10.0,24.0,34.0,6.0,14.0,0.294,0.934,1.014,-0.08,0.502,0.29,0.71,0.29,0.353,74.206,0.0,,,2304.8,819.2,485.0,162.0,62.0,450.2,0.478,0.975,0.134,0.048,0.082,0.027,0.013,6.2,1.0,11.7,6.7,0.0,2.0
9,MIN,WE,6.0,0.0,0.0,0.0,971.0,531.0,785.0,1182.0,596.0,713.0,238.0,95.0,988.0,614.0,162.0,461.0,1118.0,565.0,645.0,279.0,147.0,10.0,24.0,34.0,8.0,14.0,0.294,0.936,1.0,-0.064,0.497,0.332,0.668,0.332,0.329,77.529,0.0,,,2447.0,1007.0,569.0,206.0,123.0,514.0,0.439,0.85,0.141,0.041,0.101,0.029,0.016,5.655,0.0,10.0,24.0,0.0,0.0
10,MIN,WE,7.0,0.0,0.0,0.0,991.0,652.0,792.0,1145.0,557.0,751.0,309.0,131.0,974.0,612.0,161.0,486.0,1212.0,587.0,748.0,248.0,140.0,16.0,18.0,34.0,8.0,12.0,0.471,0.987,0.97,0.017,0.516,0.291,0.709,0.291,0.322,81.382,0.0,,,2560.8,1096.6,460.0,270.0,142.4,427.4,0.491,0.906,0.166,0.046,0.116,0.032,0.021,7.594,1.0,15.2,12.0,0.0,3.0
2,NYL,EA,1.0,1.0,1.0,0.0,792.0,429.0,652.0,940.0,477.0,617.0,246.0,102.0,741.0,437.0,116.0,420.0,967.0,462.0,645.0,223.0,94.0,20.0,12.0,32.0,14.0,7.0,0.625,0.954,0.908,0.046,0.52,0.308,0.692,0.308,0.341,67.125,1.0,4.0,3.0,2644.5,1198.5,692.0,316.5,112.0,633.0,0.495,0.902,0.119,0.034,0.081,0.029,0.009,6.045,1.0,20.0,12.0,4.0,3.0
3,NYL,EA,2.0,1.0,0.0,0.0,833.0,336.0,660.0,915.0,553.0,616.0,265.0,82.0,744.0,461.0,133.0,394.0,983.0,430.0,600.0,223.0,76.0,21.0,11.0,32.0,13.0,8.0,0.656,0.97,0.933,0.037,0.528,0.273,0.727,0.273,0.38,67.562,1.0,3.0,3.0,2281.0,946.0,572.0,283.0,79.0,434.0,0.52,1.124,0.136,0.044,0.092,0.036,0.013,7.262,1.0,21.0,11.0,3.0,3.0
4,NYL,EA,1.0,1.0,1.0,0.0,772.0,400.0,610.0,870.0,496.0,638.0,261.0,100.0,691.0,484.0,149.0,434.0,961.0,410.0,597.0,228.0,88.0,18.0,14.0,32.0,11.0,10.0,0.562,0.955,0.923,0.032,0.525,0.286,0.714,0.286,0.362,65.281,1.0,4.0,4.0,2516.4,1002.2,566.0,281.0,137.0,487.0,0.472,0.948,0.126,0.033,0.091,0.032,0.012,7.011,0.0,18.0,14.0,4.0,4.0
5,NYL,EA,6.0,0.0,0.0,0.0,825.0,412.0,686.0,957.0,527.0,587.0,262.0,128.0,821.0,459.0,155.0,467.0,1062.0,506.0,614.0,269.0,96.0,16.0,18.0,34.0,11.0,13.0,0.471,0.951,0.952,-0.001,0.519,0.269,0.731,0.269,0.362,65.971,0.0,,,2216.0,894.0,391.8,220.0,118.0,420.8,0.52,0.853,0.113,0.031,0.08,0.028,0.013,6.906,0.0,30.0,25.5,0.0,2.5
6,NYL,EA,2.0,1.0,0.0,0.0,819.0,398.0,741.0,1004.0,539.0,587.0,209.0,124.0,867.0,431.0,132.0,416.0,1101.0,517.0,589.0,288.0,123.0,18.0,16.0,34.0,10.0,10.0,0.529,0.935,0.953,-0.018,0.52,0.265,0.735,0.265,0.35,66.235,1.0,2.0,3.0,2215.45,935.0,552.0,220.0,118.0,493.45,0.499,0.854,0.133,0.029,0.103,0.036,0.013,5.288,0.0,11.0,7.0,2.0,3.0
7,NYL,EA,3.0,0.0,0.0,0.0,828.0,452.0,732.0,974.0,498.0,613.0,214.0,112.0,859.0,442.0,125.0,398.0,1030.0,473.0,590.0,275.0,86.0,18.0,16.0,34.0,9.0,11.0,0.529,0.997,0.974,0.023,0.551,0.261,0.739,0.261,0.344,68.118,1.0,0.0,2.0,1302.0,520.0,288.0,149.0,62.0,329.0,0.474,0.592,0.251,0.025,0.224,0.033,0.01,3.322,0.0,18.0,16.0,0.0,2.0
8,NYL,EA,5.0,0.0,0.0,0.0,822.0,512.0,736.0,1021.0,475.0,674.0,252.0,112.0,966.0,553.0,171.0,461.0,1173.0,508.0,668.0,270.0,134.0,11.0,23.0,34.0,7.0,13.0,0.324,0.896,1.016,-0.12,0.504,0.255,0.745,0.255,0.335,69.765,0.0,,,2112.0,1029.5,457.0,237.0,104.0,502.5,0.47,0.77,0.134,0.034,0.096,0.034,0.011,5.212,0.0,11.0,23.0,0.0,0.0
9,NYL,EA,4.0,0.0,0.0,0.0,870.0,430.0,788.0,1075.0,500.0,618.0,289.0,109.0,920.0,471.0,190.0,589.0,1215.0,509.0,608.0,321.0,115.0,16.0,18.0,34.0,10.0,10.0,0.471,0.905,0.933,-0.028,0.515,0.255,0.745,0.255,0.372,70.971,1.0,1.0,2.0,2446.5,1087.0,511.0,290.0,111.0,588.0,0.48,0.789,0.146,0.041,0.105,0.036,0.014,6.18,1.0,16.0,18.0,1.0,2.0
10,NYL,EA,3.0,1.0,0.0,0.0,912.0,490.0,778.0,1105.0,551.0,655.0,290.0,117.0,924.0,516.0,174.0,485.0,1175.0,496.0,625.0,285.0,109.0,19.0,15.0,34.0,11.0,9.0,0.559,0.962,0.952,0.01,0.524,0.284,0.716,0.284,0.367,75.676,1.0,3.0,3.0,2442.2,1086.4,521.0,273.0,105.85,485.85,0.51,1.0,0.164,0.054,0.109,0.039,0.014,7.272,0.0,36.0,32.0,3.0,5.0
2,ORL,EA,3.0,0.0,0.0,0.0,833.0,397.0,606.0,925.0,473.0,583.0,255.0,130.0,851.0,378.0,153.0,450.0,1017.0,536.0,637.0,264.0,108.0,16.0,16.0,32.0,13.0,8.0,0.5,0.952,0.957,-0.005,0.513,0.323,0.677,0.323,0.342,69.0,1.0,1.0,2.0,1952.0,936.0,444.0,249.0,131.0,461.0,0.48,0.748,0.127,0.042,0.082,0.03,0.016,5.495,0.0,16.0,16.0,1.0,2.0
3,ORL,EA,5.0,0.0,0.0,0.0,768.0,430.0,614.0,970.0,452.0,643.0,320.0,125.0,806.0,436.0,157.0,438.0,975.0,534.0,600.0,298.0,114.0,13.0,19.0,32.0,9.0,12.0,0.406,0.911,0.947,-0.036,0.493,0.351,0.649,0.351,0.327,66.875,0.0,,,2664.0,1198.0,489.0,336.0,145.0,582.0,0.467,0.73,0.148,0.048,0.099,0.041,0.022,7.25,0.0,10.0,5.95,0.0,2.05
2,PHO,WE,4.0,0.0,0.0,0.0,803.0,513.0,619.0,894.0,465.0,630.0,285.0,91.0,773.0,421.0,135.0,416.0,969.0,486.0,699.0,224.0,91.0,20.0,12.0,32.0,11.0,10.0,0.625,0.999,0.923,0.076,0.536,0.302,0.698,0.302,0.315,70.094,1.0,0.0,2.0,2137.25,939.25,448.0,288.25,89.0,480.0,0.478,0.968,0.121,0.032,0.086,0.033,0.009,4.532,0.0,9.65,8.9,0.0,2.35
3,PHO,WE,5.0,0.0,0.0,0.0,767.0,429.0,642.0,942.0,514.0,625.0,292.0,138.0,785.0,462.0,137.0,391.0,1031.0,524.0,603.0,283.0,127.0,13.0,19.0,32.0,8.0,13.0,0.406,0.87,0.93,-0.06,0.479,0.301,0.699,0.301,0.323,64.5,0.0,,,1434.0,707.0,339.0,191.0,69.0,394.0,0.412,0.698,0.137,0.036,0.101,0.031,0.018,4.051,0.0,23.0,24.95,0.0,2.05
4,PHO,WE,7.0,0.0,0.0,0.0,793.0,405.0,626.0,918.0,427.0,623.0,267.0,94.0,850.0,436.0,155.0,388.0,1001.0,532.0,600.0,268.0,127.0,11.0,21.0,32.0,7.0,14.0,0.344,0.896,0.988,-0.092,0.492,0.297,0.703,0.297,0.305,65.344,0.0,,,2017.0,1089.0,518.0,358.0,84.0,582.0,0.442,0.784,0.138,0.041,0.095,0.042,0.013,3.627,0.0,11.4,9.4,0.0,2.65
5,PHO,WE,7.0,0.0,0.0,0.0,801.0,379.0,643.0,1000.0,461.0,664.0,310.0,111.0,834.0,466.0,136.0,371.0,1114.0,509.0,667.0,275.0,146.0,8.0,26.0,34.0,5.0,19.0,0.235,0.852,0.927,-0.075,0.448,0.306,0.694,0.306,0.332,61.676,0.0,,,2348.0,1162.0,350.6,285.0,112.0,468.59999999999997,0.492,0.651,0.136,0.043,0.09,0.031,0.013,5.754,0.0,14.0,7.5,0.0,2.5
6,PHO,WE,5.0,0.0,0.0,0.0,826.0,456.0,652.0,916.0,501.0,748.0,282.0,137.0,784.0,534.0,133.0,348.0,1020.0,456.0,660.0,226.0,137.0,17.0,17.0,34.0,11.0,11.0,0.5,0.964,0.935,0.029,0.526,0.271,0.729,0.271,0.37,67.647,0.0,,,2769.45,1210.0,549.0,317.0,159.0,529.45,0.48,0.903,0.138,0.047,0.089,0.036,0.018,6.032,1.0,17.0,17.0,0.0,0.0
7,PHO,WE,5.0,0.0,0.0,0.0,826.0,531.0,720.0,1062.0,549.0,697.0,243.0,179.0,855.0,523.0,121.0,332.0,1024.0,470.0,672.0,265.0,112.0,16.0,18.0,34.0,12.0,10.0,0.471,0.954,0.952,0.002,0.514,0.327,0.673,0.327,0.33,69.441,0.0,,,1986.0,834.0,520.0,203.0,89.0,413.0,0.446,1.118,0.133,0.043,0.088,0.031,0.01,4.776,0.0,5.95,7.65,0.0,2.35
8,PHO,WE,5.0,0.0,0.0,0.0,1079.0,537.0,811.0,1145.0,640.0,741.0,275.0,127.0,1023.0,630.0,203.0,618.0,1283.0,578.0,669.0,231.0,126.0,18.0,16.0,34.0,8.0,12.0,0.529,1.041,1.005,0.036,0.541,0.276,0.724,0.276,0.367,87.059,0.0,,,3681.0,1237.0,713.0,328.0,151.0,579.0,0.522,1.205,0.161,0.048,0.113,0.041,0.02,9.441,1.0,18.0,16.0,0.0,0.0
9,PHO,WE,1.0,1.0,1.0,1.0,1063.0,616.0,873.0,1152.0,683.0,658.0,285.0,159.0,1022.0,570.0,290.0,762.0,1390.0,628.0,684.0,244.0,109.0,23.0,11.0,34.0,17.0,5.0,0.676,1.023,0.971,0.052,0.55,0.228,0.772,0.228,0.353,88.971,1.0,7.0,2.0,2403.5,933.0,578.0,220.0,119.0,417.0,0.473,0.964,0.132,0.035,0.096,0.034,0.012,5.695,1.0,10.0,13.5,0.0,2.5
10,PHO,WE,6.0,0.0,0.0,0.0,1069.0,642.0,851.0,1226.0,560.0,794.0,232.0,156.0,1036.0,694.0,243.0,695.0,1298.0,650.0,717.0,234.0,129.0,16.0,18.0,34.0,8.0,12.0,0.471,1.024,1.027,-0.003,0.533,0.304,0.696,0.304,0.328,88.529,0.0,,,3388.2,1219.4,613.0,274.0,141.85,497.85,0.504,1.158,0.167,0.05,0.116,0.039,0.017,9.264,0.0,16.0,18.0,0.0,0.0
2,POR,WE,7.0,0.0,0.0,0.0,761.0,488.0,627.0,936.0,480.0,761.0,265.0,93.0,788.0,577.0,150.0,447.0,953.0,487.0,729.0,277.0,130.0,10.0,22.0,32.0,4.0,17.0,0.312,0.891,0.956,-0.065,0.505,0.324,0.676,0.324,0.335,67.344,0.0,,,2300.0,1055.0,490.0,275.0,98.0,558.0,0.491,0.811,0.133,0.042,0.088,0.035,0.01,6.238,0.0,10.0,22.0,0.0,0.0
3,POR,WE,7.0,0.0,0.0,0.0,733.0,450.0,696.0,996.0,451.0,633.0,244.0,106.0,791.0,461.0,159.0,410.0,1106.0,501.0,643.0,293.0,144.0,11.0,21.0,32.0,5.0,16.0,0.344,0.885,0.932,-0.047,0.483,0.282,0.718,0.282,0.331,65.25,0.0,,,1930.0,1004.0,520.0,255.0,101.0,465.0,0.494,1.147,0.156,0.047,0.109,0.037,0.017,5.127,1.0,11.0,21.0,0.0,0.0
2,SAC,WE,3.0,0.0,0.0,0.0,876.0,449.0,650.0,1038.0,567.0,571.0,332.0,157.0,811.0,410.0,144.0,418.0,951.0,503.0,600.0,226.0,116.0,21.0,11.0,32.0,13.0,8.0,0.656,0.997,0.922,0.075,0.514,0.381,0.619,0.381,0.309,73.219,1.0,0.0,2.0,2798.5,1140.5,631.0,343.5,203.0,551.0,0.493,0.977,0.129,0.043,0.084,0.041,0.02,7.686,0.0,30.65,19.9,0.0,4.35
3,SAC,WE,2.0,1.0,0.0,0.0,837.0,457.0,723.0,1097.0,558.0,588.0,276.0,158.0,804.0,415.0,116.0,400.0,1005.0,496.0,616.0,261.0,143.0,20.0,12.0,32.0,13.0,8.0,0.625,0.97,0.893,0.077,0.511,0.361,0.639,0.361,0.385,71.688,1.0,3.0,2.0,2363.0,1144.0,579.0,281.0,162.0,513.0,0.513,0.944,0.157,0.044,0.113,0.03,0.018,5.785,0.0,14.0,6.0,3.0,2.0
4,SAC,WE,6.0,0.0,0.0,0.0,780.0,494.0,648.0,949.0,500.0,675.0,247.0,109.0,815.0,515.0,149.0,453.0,1075.0,493.0,633.0,233.0,128.0,14.0,18.0,32.0,8.0,13.0,0.438,0.907,0.961,-0.054,0.485,0.294,0.706,0.294,0.284,67.688,0.0,,,2187.6,960.8,428.0,230.0,127.0,420.0,0.465,0.83,0.143,0.046,0.095,0.041,0.015,7.745,0.0,25.4,27.4,0.0,2.65
5,SAC,WE,3.0,1.0,0.0,0.0,862.0,425.0,718.0,1067.0,568.0,641.0,297.0,122.0,816.0,435.0,149.0,467.0,1096.0,516.0,640.0,224.0,141.0,19.0,15.0,34.0,13.0,11.0,0.559,0.922,0.892,0.03,0.482,0.317,0.683,0.317,0.317,67.618,1.0,3.0,3.0,2375.0,1098.0,575.8,309.0,121.0,472.8,0.455,1.054,0.142,0.045,0.096,0.042,0.014,6.085,1.0,12.0,4.0,3.0,3.0
6,SAC,WE,4.0,1.0,0.0,0.0,874.0,435.0,635.0,1024.0,519.0,641.0,314.0,118.0,803.0,474.0,161.0,458.0,986.0,513.0,646.0,241.0,117.0,18.0,16.0,34.0,12.0,10.0,0.529,0.95,0.921,0.029,0.494,0.365,0.635,0.365,0.353,68.0,1.0,3.0,3.0,1903.6,969.0,457.0,278.0,104.0,446.6,0.474,0.779,0.142,0.047,0.092,0.037,0.012,4.934,0.0,18.0,16.0,3.0,3.0
7,SAC,WE,1.0,1.0,1.0,1.0,853.0,494.0,674.0,1043.0,527.0,684.0,304.0,108.0,751.0,478.0,113.0,376.0,967.0,463.0,723.0,235.0,132.0,25.0,9.0,34.0,17.0,5.0,0.735,0.957,0.851,0.106,0.506,0.347,0.653,0.347,0.358,68.5,1.0,7.0,1.0,2073.0,944.0,449.0,261.0,91.0,403.0,0.481,0.998,0.145,0.047,0.096,0.042,0.012,7.057,1.0,25.0,9.0,7.0,1.0
8,SAC,WE,2.0,1.0,1.0,0.0,919.0,542.0,720.0,1138.0,509.0,670.0,330.0,88.0,872.0,504.0,156.0,507.0,1019.0,507.0,687.0,244.0,143.0,21.0,13.0,34.0,10.0,10.0,0.618,0.961,0.907,0.054,0.504,0.366,0.634,0.366,0.341,74.618,1.0,6.0,3.0,2351.0,1226.0,523.0,320.0,81.0,473.0,0.477,1.008,0.183,0.062,0.121,0.044,0.011,6.286,2.0,11.7,6.7,0.0,2.0
9,SAC,WE,3.0,0.0,0.0,0.0,901.0,572.0,723.0,1175.0,537.0,642.0,325.0,101.0,891.0,512.0,186.0,547.0,1026.0,542.0,689.0,274.0,141.0,19.0,15.0,34.0,12.0,10.0,0.559,0.936,0.914,0.022,0.497,0.386,0.614,0.386,0.357,74.324,1.0,1.0,2.0,2040.0,1010.0,412.0,248.0,76.0,415.0,0.467,0.711,0.168,0.054,0.114,0.033,0.01,5.545,0.0,19.0,15.0,1.0,2.0
10,SAC,WE,4.0,0.0,0.0,0.0,883.0,611.0,721.0,1109.0,473.0,690.0,319.0,77.0,958.0,469.0,186.0,542.0,1075.0,581.0,759.0,267.0,206.0,18.0,16.0,34.0,9.0,11.0,0.529,0.937,0.946,-0.009,0.505,0.336,0.664,0.336,0.384,74.853,1.0,1.0,2.0,2375.4,982.8,425.0,319.0,70.7,475.7,0.506,0.726,0.147,0.049,0.096,0.053,0.009,6.304,0.0,39.0,29.0,7.0,5.0
4,SAS,WE,7.35,0.0,0.0,0.0,746.6,394.05,630.55,937.5,448.95,564.2,221.0,94.0,732.3,383.7,138.2,382.4,916.95,444.6,587.55,227.3,96.45,10.0,11.9,32.0,6.65,14.35,0.31,0.89,0.91,-0.06,0.49,0.3,0.66,0.3,0.3,64.74,0.0,,,2285.6,878.8,482.0,196.0,183.0,492.0,0.445,0.777,0.137,0.036,0.1,0.031,0.021,7.531,0.0,31.4,21.4,2.0,5.65
5,SAS,WE,6.0,0.0,0.0,0.0,792.0,538.0,795.0,1145.0,428.0,728.0,187.0,167.0,867.0,544.0,149.0,482.0,1172.0,530.0,669.0,275.0,140.0,12.0,22.0,34.0,10.0,14.0,0.353,0.867,0.956,-0.089,0.463,0.309,0.691,0.309,0.295,65.147,0.0,,,2628.0,1161.0,552.7,252.0,151.0,576.7,0.466,0.745,0.147,0.053,0.092,0.033,0.016,6.109,0.0,22.0,22.0,0.0,0.0
6,SAS,WE,7.0,0.0,0.0,0.0,812.0,488.0,701.0,1003.0,493.0,628.0,272.0,106.0,888.0,416.0,172.0,469.0,1034.0,575.0,624.0,280.0,129.0,9.0,25.0,34.0,6.0,16.0,0.265,0.903,0.977,-0.074,0.494,0.298,0.702,0.298,0.32,64.441,0.0,,,1560.3,597.0,306.0,155.0,36.0,324.3,0.475,0.791,0.136,0.037,0.097,0.023,0.022,4.996,1.0,17.0,17.0,1.0,2.0
7,SAS,WE,7.0,0.0,0.0,0.0,764.0,503.0,690.0,946.0,433.0,650.0,195.0,90.0,898.0,463.0,142.0,408.0,1055.0,563.0,685.0,283.0,148.0,7.0,27.0,34.0,3.0,19.0,0.206,0.892,0.998,-0.106,0.505,0.267,0.733,0.267,0.324,62.971,0.0,,,1477.0,537.0,438.0,147.0,43.0,378.0,0.482,1.186,0.091,0.022,0.068,0.034,0.008,5.52,0.0,7.0,27.0,0.0,0.0
8,SAS,WE,6.0,0.0,0.0,0.0,915.0,504.0,814.0,1168.0,540.0,610.0,246.0,83.0,974.0,490.0,165.0,459.0,1237.0,560.0,641.0,254.0,129.0,13.0,21.0,34.0,10.0,10.0,0.382,0.94,0.982,-0.042,0.495,0.29,0.71,0.29,0.34,74.206,0.0,,,2264.2,1038.3,526.0,238.0,98.0,443.3,0.461,1.025,0.162,0.042,0.119,0.036,0.032,7.757,0.0,13.0,21.0,0.0,0.0
9,SAS,WE,2.0,1.0,0.0,0.0,923.0,464.0,764.0,1087.0,567.0,653.0,283.0,130.0,904.0,529.0,147.0,454.0,1137.0,516.0,619.0,257.0,137.0,20.0,14.0,34.0,13.0,9.0,0.588,0.945,0.933,0.012,0.518,0.294,0.706,0.294,0.366,74.029,1.0,2.0,3.0,2195.5,933.0,531.0,223.0,122.0,463.0,0.47,0.997,0.134,0.036,0.098,0.032,0.018,6.443,0.0,20.0,14.0,2.0,3.0
10,SAS,WE,1.0,1.0,1.0,0.0,901.0,561.0,847.0,1093.0,601.0,602.0,272.0,150.0,904.0,471.0,139.0,483.0,1206.0,500.0,666.0,278.0,109.0,24.0,10.0,34.0,10.0,10.0,0.706,0.956,0.899,0.057,0.534,0.231,0.769,0.231,0.34,74.882,1.0,4.0,5.0,2373.2,982.4,571.0,246.0,116.85,437.85,0.51,1.31,0.151,0.032,0.118,0.04,0.017,8.361,1.0,24.0,10.0,4.0,5.0
2,SEA,WE,8.0,0.0,0.0,0.0,667.0,379.0,537.0,793.0,390.0,648.0,255.0,93.0,778.0,498.0,117.0,334.0,1009.0,506.0,618.0,284.0,123.0,6.0,26.0,32.0,4.0,17.0,0.188,0.808,0.965,-0.157,0.459,0.262,0.738,0.262,0.299,56.938,0.0,,,1599.5,719.5,388.0,234.5,87.0,478.0,0.453,0.724,0.132,0.032,0.098,0.034,0.012,4.665,0.0,6.0,26.0,0.0,0.0
3,SEA,WE,8.0,0.0,0.0,0.0,689.0,415.0,585.0,891.0,412.0,605.0,273.0,127.0,753.0,417.0,125.0,325.0,1052.0,492.0,588.0,228.0,127.0,10.0,22.0,32.0,6.0,15.0,0.312,0.868,0.923,-0.055,0.46,0.288,0.712,0.288,0.311,60.031,0.0,,,1869.0,870.0,429.0,236.0,114.0,411.0,0.466,0.929,0.142,0.035,0.107,0.031,0.013,4.593,0.0,10.0,22.0,0.0,0.0
4,SEA,WE,4.0,0.0,0.0,0.0,794.0,418.0,633.0,995.0,514.0,623.0,282.0,151.0,783.0,435.0,102.0,342.0,969.0,488.0,563.0,254.0,125.0,17.0,15.0,32.0,10.0,11.0,0.531,0.951,0.914,0.037,0.5,0.354,0.646,0.354,0.36,68.375,1.0,0.0,2.0,2538.8,1080.4,546.0,289.0,162.0,506.0,0.464,0.893,0.156,0.072,0.084,0.034,0.04,6.38,0.0,18.0,14.0,0.0,2.0
5,SEA,WE,5.0,0.0,0.0,0.0,890.0,442.0,732.0,1074.0,548.0,644.0,232.0,138.0,844.0,441.0,145.0,437.0,1041.0,456.0,570.0,245.0,104.0,18.0,16.0,34.0,11.0,13.0,0.529,0.988,0.945,0.043,0.52,0.332,0.668,0.332,0.332,70.235,0.0,,,2752.0,1222.0,557.8,227.0,145.0,500.8,0.487,0.952,0.162,0.052,0.109,0.03,0.017,7.666,1.0,18.0,16.0,0.0,0.0
6,SEA,WE,2.0,1.0,1.0,1.0,873.0,524.0,709.0,1059.0,552.0,665.0,302.0,131.0,851.0,423.0,139.0,391.0,982.0,507.0,678.0,252.0,137.0,20.0,14.0,34.0,13.0,9.0,0.588,0.986,0.915,0.071,0.525,0.34,0.66,0.34,0.38,71.676,1.0,6.0,2.0,1949.75,785.0,396.0,185.0,119.0,363.75,0.458,0.753,0.127,0.04,0.083,0.029,0.013,5.21,1.0,20.0,14.0,6.0,2.0
