year,tmID,confID,rank,firstRound,semis,finals,o_fgm,o_ftm,o_dreb,o_reb,o_asts,o_pf,o_stl,o_blk,d_fgm,d_ftm,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_blk,won,lost,GP,confW,confL,win_loss_ratio,ORtg,DRtg,NRtg,TSht,OReb,DReb,Reb,3PtR,PPG,playoff_qualification
9,SEA,WE,2,0,0,0,899,552,822,1162,530,684,269,140,861,512,172,539,1092,498,674,263,115,22,12,34,13,7,0.647,0.952,0.909,0.043,0.512,0.309,0.691,0.309,0.316,73.324,1.0
10,SEA,WE,2,0,0,0,909,555,788,1104,536,710,276,150,882,510,202,585,1078,517,672,275,131,20,14,34,13,7,0.588,0.954,0.928,0.026,0.524,0.298,0.702,0.298,0.352,74.824,1.0
1,UTA,WE,5,0,0,0,858,609,732,1080,522,698,214,157,860,531,156,448,911,503,702,301,112,18,14,32,13,8,0.562,0.989,1.001,-0.012,0.538,0.368,0.632,0.368,0.336,75.406,0.0
2,UTA,WE,3,0,0,0,811,507,775,1070,524,622,202,156,789,489,125,429,974,478,645,275,148,19,13,32,11,10,0.594,0.942,0.948,-0.006,0.514,0.319,0.681,0.319,0.32,68.969,1.0
3,UTA,WE,3,1,0,0,843,643,721,1068,478,665,228,178,851,516,126,377,1006,489,724,260,149,20,12,32,12,9,0.625,0.984,0.956,0.028,0.53,0.35,0.65,0.35,0.36,75.562,1.0
1,WAS,EA,4,0,0,0,832,403,646,946,521,597,245,126,845,382,149,397,911,513,595,261,102,14,18,32,13,8,0.438,0.957,0.976,-0.019,0.526,0.329,0.671,0.329,0.325,68.0,1.0
2,WAS,EA,8,0,0,0,739,333,699,1055,424,537,257,127,791,347,146,408,1068,487,543,261,103,10,22,32,4,17,0.312,0.847,0.913,-0.066,0.451,0.326,0.674,0.326,0.28,60.25,0.0
3,WAS,EA,3,1,0,0,806,359,708,1038,516,583,221,94,786,397,147,446,989,442,570,237,101,17,15,32,12,9,0.531,0.951,0.931,0.02,0.503,0.327,0.673,0.327,0.37,66.719,1.0
4,WAS,EA,7,0,0,0,896,381,703,1085,568,676,213,99,909,509,171,482,1115,591,565,251,119,9,25,34,7,17,0.265,0.934,1.011,-0.077,0.483,0.328,0.672,0.328,0.311,68.529,0.0
5,WAS,EA,4,0,0,0,873,474,726,1063,467,652,255,128,864,510,146,425,1106,534,627,237,111,17,17,34,9,11,0.5,0.943,0.965,-0.022,0.489,0.304,0.696,0.304,0.371,68.382,1.0
6,WAS,EA,5,0,0,0,847,388,677,943,517,697,260,76,833,489,150,433,1024,545,638,205,108,16,18,34,9,11,0.471,0.952,0.963,-0.011,0.512,0.26,0.74,0.26,0.355,66.559,0.0
7,WAS,EA,4,0,0,0,1016,528,770,1100,576,784,306,113,909,635,204,553,1041,583,687,252,89,18,16,34,12,8,0.529,1.008,0.974,0.034,0.546,0.314,0.686,0.314,0.358,80.794,1.0
8,WAS,EA,5,0,0,0,877,668,783,1118,472,763,282,133,924,616,175,520,1208,549,762,256,103,16,18,34,8,12,0.471,0.931,0.955,-0.024,0.509,0.289,0.711,0.289,0.309,76.029,0.0
9,WAS,EA,6,0,0,0,885,435,770,1132,483,757,241,93,929,563,180,528,1093,542,708,314,146,10,24,34,6,14,0.294,0.878,0.98,-0.102,0.489,0.315,0.685,0.315,0.354,69.647,0.0
10,WAS,EA,4,0,0,0,933,580,803,1191,453,725,314,118,945,570,162,478,1111,524,778,315,156,16,18,34,10,12,0.471,0.927,0.947,-0.02,0.503,0.33,0.67,0.33,0.326,76.029,1.0
