year,tmID,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,win_pct,points_per_game,points_allowed_per_game,fg_pct,three_pt_pct,ft_pct,total_rebounds_per_game,offensive_rebounds_per_game,defensive_rebounds_per_game,opp_total_rebounds_per_game,opp_offensive_rebounds_per_game,opp_defensive_rebounds_per_game,rebounding_pct,offensive_rebounding_pct,defensive_rebounding_pct,home_win_pct,away_win_pct,conf_win_pct,assists_per_game,turnovers_per_game,assist_to_turnover,blocks_per_game,steals_per_game,team_points_mean,team_points_max,team_points_std,team_assists_mean,team_assists_sum,team_rebounds_mean,team_rebounds_sum,team_steals_mean,team_steals_sum,team_blocks_mean,team_blocks_sum,team_minutes_sum,team_minutes_mean,made_playoffs_next_season
1,LAS,WE,1,Y,W,L,,861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,28,4,32,15,1,13,3,17,4,6450,105005,0.88,75.53,67.78,0.44,0.33,0.79,34.09,9.62,24.47,30.56,9.38,21.19,0.53,0.31,0.72,0.94,0.81,0.81,18.31,14.56,1.26,4.88,8.47,219.73,570,178.86,53.27,586,99.18,1091,24.64,271,14.18,156,6450,586.36,1
2,LAS,WE,1,Y,W,W,W,916,2031,449,594,160,436,350,755,1105,596,616,281,438,138,2441,779,1985,416,547,192,603,294,627,921,538,591,234,453,114,2166,28,4,32,16,0,12,4,19,2,6475,148446,0.88,76.28,67.69,0.45,0.37,0.76,34.53,10.94,23.59,28.78,9.19,19.59,0.55,0.36,0.72,1.0,0.75,0.9,18.62,13.69,1.36,4.31,8.78,221.91,606,181.1,54.18,596,100.45,1105,25.55,281,12.55,138,6475,588.64,1
3,LAS,WE,1,Y,W,W,W,891,2002,476,645,194,515,329,814,1143,583,664,257,517,161,2452,796,2040,480,649,163,521,314,645,959,508,623,275,453,111,2235,25,7,32,12,4,13,3,17,4,6475,186410,0.78,76.62,69.84,0.45,0.38,0.74,35.72,10.28,25.44,29.97,9.81,20.16,0.54,0.34,0.72,0.75,0.81,0.81,18.22,16.16,1.13,5.03,8.03,188.62,539,192.03,44.85,583,87.92,1143,19.77,257,12.38,161,6475,498.08,1
4,LAS,WE,1,Y,W,W,L,894,2140,537,678,174,528,336,813,1149,587,682,242,470,161,2499,866,2147,504,702,196,540,316,789,1105,572,654,241,468,127,2432,24,10,34,11,6,13,4,17,7,6900,157934,0.71,73.5,71.53,0.42,0.33,0.79,33.79,9.88,23.91,32.5,9.29,23.21,0.51,0.3,0.72,0.65,0.76,0.71,17.26,13.82,1.25,4.74,7.12,166.6,441,185.45,39.13,587,76.6,1149,16.13,242,10.73,161,6900,460.0,1
5,LAS,WE,1,Y,L,,,904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,2495,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,2361,25,9,34,15,2,10,7,16,6,6975,177269,0.74,73.38,69.44,0.44,0.38,0.73,32.97,9.18,23.79,31.35,9.97,21.38,0.51,0.3,0.7,0.88,0.59,0.73,18.41,15.56,1.18,4.35,7.71,191.92,598,186.72,48.15,626,86.23,1121,20.15,262,11.38,148,6975,536.54,1
6,LAS,WE,4,Y,L,,,873,2042,456,630,124,387,321,683,1004,551,737,264,492,136,2326,818,1955,527,709,182,519,332,709,1041,567,654,247,544,115,2345,17,17,34,11,6,6,11,12,10,6800,150521,0.5,68.41,68.97,0.43,0.32,0.72,29.53,9.44,20.09,30.62,9.76,20.85,0.49,0.31,0.67,0.65,0.35,0.55,16.21,14.47,1.12,4.0,7.76,166.14,561,180.56,39.36,551,71.71,1004,18.86,264,9.71,136,6800,485.71,1
7,LAS,WE,1,Y,W,L,,962,2195,540,726,111,377,350,852,1202,610,679,296,534,129,2575,873,2184,534,721,196,570,336,746,1082,565,636,284,556,128,2476,25,9,34,15,2,10,7,15,5,6825,141282,0.74,75.74,72.82,0.44,0.29,0.74,35.35,10.29,25.06,31.82,9.88,21.94,0.53,0.32,0.72,0.88,0.59,0.75,17.94,15.71,1.14,3.79,8.71,183.93,680,179.5,43.57,610,85.86,1202,21.14,296,9.21,129,6825,487.5,0
8,LAS,WE,7,N,,,,940,2305,493,627,160,456,356,783,1139,554,732,245,571,107,2533,954,2212,609,800,191,537,343,836,1179,616,605,290,550,137,2708,10,24,34,5,12,5,12,6,16,6900,147810,0.29,74.5,79.65,0.41,0.35,0.79,33.5,10.47,23.03,34.68,10.09,24.59,0.49,0.3,0.7,0.29,0.29,0.27,16.29,16.79,0.97,3.15,7.21,168.87,327,113.52,36.93,554,75.93,1139,16.33,245,7.13,107,6900,460.0,1
9,LAS,WE,3,Y,W,L,,954,2248,539,717,151,485,386,896,1282,613,713,251,608,216,2598,888,2310,562,751,185,547,359,768,1127,513,717,303,523,141,2523,20,14,34,12,5,8,9,12,8,7000,161639,0.59,76.41,74.21,0.42,0.31,0.75,37.71,11.35,26.35,33.15,10.56,22.59,0.53,0.33,0.71,0.71,0.47,0.6,18.03,17.88,1.01,6.35,7.38,173.2,610,194.0,40.87,613,85.47,1282,16.73,251,14.4,216,7002,466.8,1
10,LAS,WE,3,Y,W,L,,973,2264,435,550,152,512,365,883,1248,587,583,217,568,166,2533,903,2262,479,623,213,636,320,730,1050,516,622,300,463,115,2498,18,16,34,11,6,7,10,11,9,6925,176587,0.53,74.5,73.47,0.43,0.3,0.79,36.71,10.74,25.97,30.88,9.41,21.47,0.54,0.33,0.73,0.65,0.41,0.55,17.26,16.71,1.03,4.88,6.38,230.27,441,135.46,53.36,587,113.45,1248,19.73,217,15.09,166,6925,629.55,0
1,MIA,EA,6,N,,,,647,1774,452,664,85,310,365,595,960,415,707,272,524,88,1831,715,1676,454,627,117,315,275,648,923,416,661,247,528,118,2001,13,19,32,9,7,4,12,9,12,6475,127721,0.41,57.22,62.53,0.36,0.27,0.68,30.0,11.41,18.59,28.84,8.59,20.25,0.51,0.36,0.68,0.56,0.25,0.43,12.97,16.38,0.79,2.75,8.5,140.85,396,105.57,31.92,415,73.85,960,20.92,272,6.77,88,6475,498.08,1
2,MIA,EA,3,Y,L,,,754,1826,356,469,93,295,292,651,943,467,602,300,448,153,1957,679,1725,420,588,120,395,301,667,968,388,538,259,512,87,1898,20,12,32,10,6,10,6,14,7,6575,141717,0.62,61.16,59.31,0.41,0.32,0.76,29.47,9.12,20.34,30.25,9.41,20.84,0.49,0.3,0.68,0.62,0.62,0.67,14.59,14.0,1.04,4.78,9.38,163.08,444,153.93,38.92,467,78.58,943,25.0,300,12.75,153,6575,547.92,0
3,MIA,EA,6,N,,,,774,1856,369,529,129,389,296,573,869,476,643,274,435,96,2046,745,1722,469,614,129,382,278,693,971,446,588,222,515,104,2088,15,17,32,9,7,6,10,11,10,6475,141252,0.47,63.94,65.25,0.42,0.33,0.7,27.16,9.25,17.91,30.34,8.69,21.66,0.47,0.3,0.67,0.56,0.38,0.52,14.88,13.59,1.09,3.0,8.56,136.4,463,132.47,31.73,476,57.93,869,18.27,274,6.4,96,6475,431.67,0
1,MIN,WE,6,N,,,,770,1831,449,592,204,571,258,612,870,495,690,237,497,63,2193,755,1758,514,702,164,481,300,677,977,472,707,275,547,130,2188,15,17,32,8,8,7,9,5,16,6425,116638,0.47,68.53,68.38,0.42,0.36,0.76,27.19,8.06,19.12,30.53,9.38,21.16,0.47,0.28,0.67,0.5,0.44,0.24,15.47,15.53,1.0,1.97,7.41,168.69,646,202.53,38.08,495,66.92,870,18.23,237,4.85,63,6425,494.23,0
2,MIN,WE,6,N,,,,671,1810,559,727,176,552,308,693,1001,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,1016,511,719,259,470,126,2156,12,20,32,6,10,6,10,9,12,6475,120607,0.38,64.91,67.38,0.37,0.32,0.77,31.28,9.62,21.66,31.75,10.25,21.5,0.5,0.31,0.68,0.38,0.38,0.43,13.66,15.84,0.86,3.97,6.56,157.83,739,201.79,31.25,375,73.58,883,15.25,183,8.17,98,5750,479.17,0
3,MIN,WE,8,N,,,,727,1775,383,578,166,500,309,650,959,466,617,226,529,102,2003,747,1807,469,613,141,389,302,612,914,495,618,273,465,117,2104,10,22,32,7,9,3,13,6,15,6475,139874,0.31,62.59,65.75,0.41,0.33,0.66,29.97,9.66,20.31,28.56,9.44,19.12,0.51,0.34,0.68,0.44,0.19,0.29,14.56,16.53,0.88,3.19,7.06,140.75,512,143.81,34.58,415,60.83,730,15.17,182,7.42,89,5452,454.33,1
4,MIN,WE,4,Y,L,,,875,1978,450,624,180,524,361,718,1079,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,989,528,666,271,471,126,2370,18,16,34,11,6,7,10,14,10,6850,120253,0.53,70.0,69.71,0.44,0.34,0.72,31.74,10.62,21.12,29.09,9.91,19.18,0.52,0.36,0.68,0.65,0.41,0.58,17.06,16.41,1.04,2.97,7.12,188.82,620,187.32,48.73,536,79.09,870,18.91,208,8.27,91,5729,520.82,1
5,MIN,WE,3,Y,L,,,767,1900,454,640,177,542,332,724,1056,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,1036,508,676,333,502,133,2190,18,16,34,11,6,7,10,12,10,6850,125097,0.53,63.68,64.41,0.4,0.33,0.71,31.06,9.76,21.29,30.47,9.5,20.97,0.5,0.32,0.69,0.65,0.41,0.55,15.47,18.03,0.86,4.09,7.56,159.25,432,131.11,40.67,488,70.92,851,18.17,218,11.17,134,5872,489.33,0
6,MIN,WE,6,N,,,,801,1946,437,601,172,492,310,715,1025,531,624,258,536,127,2211,862,2019,435,592,129,376,344,711,1055,537,665,275,487,144,2288,14,20,34,11,6,3,14,9,13,6850,113447,0.41,65.03,67.29,0.41,0.35,0.73,30.15,9.12,21.03,31.03,10.12,20.91,0.49,0.3,0.68,0.65,0.18,0.41,15.62,15.76,0.99,3.74,7.59,134.27,382,127.78,32.8,492,56.93,854,15.2,228,8.33,125,6092,406.13,0
7,MIN,WE,7,N,,,,945,2211,485,681,148,419,340,804,1144,491,654,193,530,113,2523,1004,2314,548,719,179,542,372,832,1204,625,633,308,438,124,2735,10,24,34,8,9,2,15,6,14,6825,109522,0.29,74.21,80.44,0.43,0.35,0.71,33.65,10.0,23.65,35.41,10.94,24.47,0.49,0.29,0.68,0.47,0.12,0.3,14.44,15.59,0.93,3.32,5.68,216.0,744,205.9,42.73,470,88.18,970,16.09,177,10.18,112,6153,559.36,0
8,MIN,WE,6,N,,,,971,2355,531,674,163,496,397,785,1182,596,713,238,561,95,2636,988,2195,614,785,162,461,318,800,1118,565,645,279,529,147,2752,10,24,34,7,10,3,14,8,14,6875,121019,0.29,77.53,80.94,0.41,0.33,0.79,34.76,11.68,23.09,32.88,9.35,23.53,0.51,0.33,0.71,0.41,0.18,0.36,17.53,16.5,1.06,2.79,7.0,210.0,769,217.07,47.83,574,89.25,1071,19.0,228,7.58,91,6377,531.42,0
9,MIN,WE,7,N,,,,991,2303,652,864,133,413,353,792,1145,557,751,309,472,131,2767,974,2220,612,809,161,486,350,862,1212,587,748,248,579,140,2721,16,18,34,9,8,7,10,8,12,6900,118463,0.47,81.38,80.03,0.43,0.32,0.75,33.68,10.38,23.29,35.65,10.29,25.35,0.49,0.29,0.69,0.53,0.41,0.4,16.38,13.88,1.18,3.85,9.09,184.47,591,177.27,37.13,557,76.33,1145,20.6,309,8.73,131,6901,460.07,0
10,MIN,WE,5,N,,,,949,2257,591,766,242,695,325,762,1087,509,693,301,513,128,2731,1041,2260,550,711,195,510,317,848,1165,589,694,250,543,140,2827,14,20,34,9,8,5,12,7,13,6875,128127,0.41,80.32,83.15,0.42,0.35,0.77,31.97,9.56,22.41,34.26,9.32,24.94,0.48,0.28,0.71,0.53,0.29,0.35,14.97,15.09,0.99,3.76,8.85,210.08,446,156.17,39.15,509,83.62,1087,23.15,301,9.85,128,6874,528.77,0
1,NYL,EA,1,Y,W,W,L,792,1815,429,567,135,396,288,652,940,477,617,246,474,102,2148,741,1822,437,590,116,420,320,647,967,462,645,223,479,94,2035,20,12,32,12,4,8,8,14,7,6425,231962,0.62,67.12,63.59,0.44,0.34,0.76,29.38,9.0,20.38,30.22,10.0,20.22,0.49,0.31,0.67,0.75,0.5,0.67,14.91,14.81,1.01,3.19,7.69,165.23,427,157.72,36.69,477,72.31,940,18.92,246,7.85,102,6425,494.23,1
2,NYL,EA,2,Y,W,L,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,21,11,32,13,3,8,8,13,8,6400,250565,0.66,67.56,65.06,0.46,0.38,0.67,28.59,7.97,20.62,30.72,9.5,21.22,0.48,0.27,0.68,0.81,0.5,0.62,17.28,13.66,1.27,2.56,8.28,144.13,489,160.21,36.87,553,61.0,915,17.67,265,5.47,82,6400,426.67,1
3,NYL,EA,1,Y,W,W,L,772,1740,400,567,145,400,260,610,870,496,638,261,458,100,2089,691,1733,484,645,149,434,312,649,961,410,597,228,478,88,2015,18,14,32,10,6,8,8,11,10,6450,234717,0.56,65.28,62.97,0.44,0.36,0.71,27.19,8.12,19.06,30.03,9.75,20.28,0.48,0.29,0.66,0.62,0.5,0.52,15.5,14.31,1.08,3.12,8.16,189.91,451,180.64,45.09,496,79.09,870,23.73,261,9.09,100,6450,586.36,0
4,NYL,EA,6,N,,,,825,1923,412,537,181,500,271,686,957,527,587,262,470,128,2243,821,1959,459,581,155,467,326,736,1062,506,614,269,480,96,2256,16,18,34,11,6,5,12,11,13,6850,212346,0.47,65.97,66.35,0.43,0.36,0.77,28.15,7.97,20.18,31.24,9.59,21.65,0.47,0.27,0.68,0.65,0.29,0.46,15.5,13.82,1.12,3.76,7.71,186.92,430,155.08,43.92,527,79.75,957,21.83,262,10.67,128,6850,570.83,1
5,NYL,EA,2,Y,W,L,,819,1932,398,531,216,617,263,741,1004,539,587,209,506,124,2252,867,2096,431,579,132,416,371,730,1101,517,589,288,430,123,2297,18,16,34,11,6,7,10,10,10,6900,168062,0.53,66.24,67.56,0.42,0.35,0.75,29.53,7.74,21.79,32.38,10.91,21.47,0.48,0.26,0.67,0.65,0.41,0.5,15.85,14.88,1.07,3.65,6.15,187.67,460,150.52,44.92,539,83.67,1004,17.42,209,10.33,124,6900,575.0,1
6,NYL,EA,3,Y,L,,,828,1860,452,552,208,605,242,732,974,498,613,214,462,112,2316,859,2012,442,608,125,398,345,685,1030,473,590,275,411,86,2285,18,16,34,10,7,8,9,9,11,6925,172381,0.53,68.12,67.21,0.45,0.34,0.82,28.65,7.12,21.53,30.29,10.15,20.15,0.49,0.26,0.68,0.59,0.47,0.45,14.65,13.59,1.08,3.29,6.29,154.4,473,166.95,33.2,498,64.93,974,14.27,214,7.47,112,6925,461.67,0
7,NYL,EA,5,N,,,,822,2069,512,650,216,645,285,736,1021,475,674,252,576,112,2372,966,2153,553,722,171,461,341,832,1173,508,668,270,485,134,2656,11,23,34,7,10,4,13,7,13,6875,155048,0.32,69.76,78.12,0.4,0.33,0.79,30.03,8.38,21.65,34.5,10.03,24.47,0.47,0.26,0.68,0.41,0.24,0.35,13.97,16.94,0.82,3.29,7.41,169.43,423,132.34,33.93,475,72.93,1021,18.0,252,8.0,112,6876,491.14,1
8,NYL,EA,4,Y,L,,,870,2087,430,580,243,653,287,788,1075,500,618,289,612,109,2413,920,2223,471,619,190,589,378,837,1215,509,608,321,562,115,2501,16,18,34,10,7,6,11,10,10,6850,147866,0.47,70.97,73.56,0.42,0.37,0.74,31.62,8.44,23.18,35.74,11.12,24.62,0.47,0.26,0.68,0.59,0.35,0.5,14.71,18.0,0.82,3.21,8.5,172.36,368,146.95,35.71,500,76.79,1075,20.64,289,7.79,109,6851,489.36,1
9,NYL,EA,3,Y,W,L,,912,2168,490,653,259,706,327,778,1105,551,655,290,547,117,2573,924,2163,516,674,174,485,352,823,1175,496,625,285,559,109,2538,19,15,34,11,6,8,9,11,9,6900,153772,0.56,75.68,74.65,0.42,0.37,0.75,32.5,9.62,22.88,34.56,10.35,24.21,0.48,0.28,0.69,0.65,0.47,0.55,16.21,16.09,1.01,3.44,8.53,197.92,488,139.04,42.38,551,85.0,1105,22.31,290,9.0,117,6901,530.85,0
10,NYL,EA,7,N,,,,900,2168,458,582,254,710,280,802,1082,526,637,276,543,121,2512,906,2157,531,673,192,554,333,869,1202,482,590,269,548,124,2535,13,21,34,8,9,5,12,9,13,6900,166604,0.38,73.88,74.56,0.42,0.36,0.79,31.82,8.24,23.59,35.35,9.79,25.56,0.47,0.24,0.71,0.47,0.29,0.41,15.47,15.97,0.97,3.56,8.12,228.36,514,144.74,47.82,526,98.36,1082,25.09,276,11.0,121,6902,627.45,0
1,ORL,EA,3,Y,L,,,833,1911,397,546,145,424,319,606,925,473,583,255,486,130,2208,851,1964,378,495,153,450,348,669,1017,536,637,264,500,108,2233,16,16,32,11,5,5,11,13,8,6500,117810,0.5,69.0,69.78,0.44,0.34,0.73,28.91,9.97,18.94,31.78,10.88,20.91,0.48,0.32,0.64,0.69,0.31,0.62,14.78,15.19,0.97,4.06,7.97,169.85,438,184.15,36.38,473,71.15,925,19.62,255,10.0,130,6500,500.0,0
2,ORL,EA,5,N,,,,768,1914,430,587,174,532,356,614,970,452,643,320,532,125,2140,806,1831,436,605,157,438,316,659,975,534,600,298,546,114,2205,13,19,32,10,6,3,13,9,12,6450,118874,0.41,66.88,68.91,0.4,0.33,0.73,30.31,11.12,19.19,30.47,9.88,20.59,0.5,0.35,0.66,0.62,0.19,0.43,14.12,16.62,0.85,3.91,10.0,178.33,433,155.05,37.67,452,80.83,970,26.67,320,10.42,125,6450,537.5,0
3,ORL,EA,5,N,,,,808,1914,493,646,145,461,320,595,915,446,669,295,456,113,2254,804,1862,491,668,156,422,362,684,1046,519,637,251,541,108,2255,16,16,32,10,6,6,10,13,8,6525,113837,0.5,70.44,70.47,0.42,0.31,0.76,28.59,10.0,18.59,32.69,11.31,21.38,0.47,0.32,0.62,0.62,0.38,0.62,13.94,14.25,0.98,3.53,9.22,161.0,499,150.55,31.86,446,65.36,915,21.07,295,8.07,113,6525,466.07,0
1,PHO,WE,4,Y,L,,,803,1800,513,661,124,394,275,619,894,465,630,285,429,91,2243,773,1828,421,574,135,416,334,635,969,486,699,224,531,91,2102,20,12,32,11,5,9,7,11,10,6425,161075,0.62,70.09,65.69,0.45,0.31,0.78,27.94,8.59,19.34,30.28,10.44,19.84,0.48,0.3,0.65,0.69,0.56,0.52,14.53,13.41,1.08,2.84,8.91,160.21,608,176.4,33.21,465,63.86,894,20.36,285,6.5,91,6425,458.93,0
2,PHO,WE,5,N,,,,767,1894,429,587,101,313,300,642,942,514,625,292,519,138,2064,785,1892,462,584,137,391,333,698,1031,524,603,283,517,127,2169,13,19,32,10,6,3,13,8,13,6450,136979,0.41,64.5,67.78,0.4,0.32,0.73,29.44,9.38,20.06,32.22,10.41,21.81,0.48,0.3,0.66,0.62,0.19,0.38,16.06,16.22,0.99,4.31,9.12,114.67,395,127.3,28.56,514,52.33,942,16.22,292,7.67,138,6450,358.33,0
3,PHO,WE,7,N,,,,793,1889,405,538,100,328,292,626,918,427,623,267,501,94,2091,850,1870,436,608,155,388,309,692,1001,532,600,268,491,127,2291,11,21,32,10,6,1,15,7,14,6400,139798,0.34,65.34,71.59,0.42,0.3,0.75,28.69,9.12,19.56,31.28,9.66,21.62,0.48,0.3,0.67,0.62,0.06,0.33,13.34,15.66,0.85,2.94,8.34,139.4,473,131.09,28.47,427,61.2,918,17.8,267,6.27,94,6400,426.67,0
4,PHO,WE,7,N,,,,801,2095,379,556,116,349,357,643,1000,461,664,310,479,111,2097,834,1867,466,626,136,371,303,811,1114,509,667,275,610,146,2270,8,26,34,6,11,2,15,5,19,6925,144511,0.24,61.68,66.76,0.38,0.33,0.68,29.41,10.5,18.91,32.76,8.91,23.85,0.47,0.31,0.68,0.35,0.12,0.21,13.56,14.09,0.96,3.26,9.12,99.86,405,124.66,21.95,461,47.62,1000,14.76,310,5.29,111,6925,329.76,0
5,PHO,WE,5,N,,,,826,1922,456,598,192,519,264,652,916,501,748,282,464,137,2300,784,1845,534,724,133,348,309,711,1020,456,660,226,536,137,2235,17,17,34,10,7,7,10,11,11,6825,136295,0.5,67.65,65.74,0.43,0.37,0.76,26.94,7.76,19.18,30.0,9.09,20.91,0.47,0.27,0.68,0.59,0.41,0.5,14.74,13.65,1.08,4.03,8.29,164.29,578,196.19,35.79,501,65.43,916,20.14,282,9.79,137,6825,487.5,0
6,PHO,WE,5,N,,,,826,1994,531,693,178,539,342,720,1062,549,697,243,517,179,2361,855,1993,523,720,121,332,319,705,1024,470,672,265,483,112,2354,16,18,34,11,6,5,12,12,10,6800,124146,0.47,69.44,69.24,0.41,0.33,0.77,31.24,10.06,21.18,30.12,9.38,20.74,0.51,0.33,0.69,0.65,0.29,0.55,16.15,15.21,1.06,5.26,7.15,157.4,527,168.61,36.6,549,70.8,1062,16.2,243,11.93,179,6800,453.33,0
7,PHO,WE,5,N,,,,1079,2434,537,684,265,722,334,811,1145,640,741,275,442,127,2960,1023,2360,630,852,203,618,408,875,1283,578,669,231,537,126,2879,18,16,34,10,7,8,9,8,12,6900,126801,0.53,87.06,84.68,0.44,0.37,0.79,33.68,9.82,23.85,37.74,12.0,25.74,0.47,0.28,0.67,0.59,0.47,0.4,18.82,13.0,1.45,3.74,8.09,185.0,860,243.75,40.0,640,71.56,1145,17.19,275,7.94,127,6900,431.25,1
8,PHO,WE,1,Y,W,W,W,1063,2419,616,754,283,802,279,873,1152,683,658,285,486,159,3025,1022,2526,570,716,290,762,445,945,1390,628,684,244,595,109,2904,23,11,34,12,5,11,6,17,5,6850,131524,0.68,88.97,85.41,0.44,0.35,0.82,33.88,8.21,25.68,40.88,13.09,27.79,0.45,0.23,0.66,0.71,0.65,0.77,20.09,14.29,1.41,4.68,8.38,232.69,613,237.55,52.54,683,88.62,1152,21.92,285,12.23,159,6849,526.85,0
9,PHO,WE,6,N,,,,1069,2485,642,773,230,701,375,851,1226,560,794,232,489,156,3010,1036,2460,694,932,243,695,440,858,1298,650,717,234,500,129,3009,16,18,34,10,7,6,11,8,12,6825,144867,0.47,88.53,88.5,0.43,0.33,0.83,36.06,11.03,25.03,38.18,12.94,25.24,0.49,0.3,0.66,0.59,0.35,0.4,16.47,14.38,1.15,4.59,6.82,215.0,820,253.6,40.0,560,87.57,1226,16.57,232,11.14,156,6826,487.57,1
10,PHO,WE,1,Y,W,W,W,1128,2454,643,752,257,665,284,906,1190,625,740,225,500,181,3156,1094,2582,638,851,205,608,421,864,1285,607,671,260,460,143,3031,23,11,34,12,5,11,6,13,7,6900,144884,0.68,92.82,89.15,0.46,0.39,0.86,35.0,8.35,26.65,37.79,12.38,25.41,0.48,0.25,0.68,0.71,0.65,0.65,18.38,14.71,1.25,5.32,6.62,263.0,648,218.46,52.08,625,99.17,1190,18.75,225,15.08,181,6900,575.0,0
1,POR,WE,7,N,,,,761,1828,488,697,145,433,309,627,936,480,761,265,593,93,2155,788,1847,577,766,150,447,307,646,953,487,729,277,531,130,2303,10,22,32,6,10,4,12,4,17,6525,133076,0.31,67.34,71.97,0.42,0.33,0.7,29.25,9.66,19.59,29.78,9.59,20.19,0.5,0.32,0.67,0.38,0.25,0.19,15.0,18.53,0.81,2.91,8.28,179.58,538,145.57,40.0,480,78.0,936,22.08,265,7.75,93,6525,543.75,0
2,POR,WE,7,N,,,,733,1891,450,612,172,519,300,696,996,451,633,244,500,106,2088,791,1944,461,656,159,410,343,763,1106,501,643,293,474,144,2202,11,21,32,6,10,5,11,5,16,6525,137656,0.34,65.25,68.81,0.39,0.33,0.74,31.12,9.38,21.75,34.56,10.72,23.84,0.47,0.28,0.67,0.38,0.31,0.24,14.09,15.62,0.9,3.31,7.62,160.62,478,141.57,34.69,451,76.62,996,18.77,244,8.15,106,6525,501.92,0
3,POR,WE,5,N,,,,829,1951,410,564,127,391,307,641,948,492,623,239,493,120,2195,819,1885,463,647,126,348,334,678,1012,486,616,272,508,139,2227,16,16,32,9,7,7,9,8,13,6475,128656,0.5,68.59,69.59,0.42,0.32,0.73,29.62,9.59,20.03,31.62,10.44,21.19,0.48,0.31,0.66,0.56,0.44,0.38,15.38,15.41,1.0,3.75,7.47,168.85,339,112.79,37.85,492,72.92,948,18.38,239,9.23,120,6475,498.08,0
1,SAC,WE,3,Y,L,,,876,1993,449,650,142,459,388,650,1038,567,571,332,458,157,2343,811,1918,410,544,144,418,320,631,951,503,600,226,524,116,2176,21,11,32,13,3,8,8,13,8,6400,126841,0.66,73.22,68.0,0.44,0.31,0.69,32.44,12.12,20.31,29.72,10.0,19.72,0.52,0.38,0.67,0.81,0.5,0.62,17.72,14.31,1.24,4.91,10.38,195.25,523,169.29,47.25,567,86.5,1038,27.67,332,13.08,157,6400,533.33,1
2,SAC,WE,2,Y,W,L,,837,1974,457,618,163,423,374,723,1097,558,588,276,494,158,2294,804,2003,415,578,116,400,343,662,1005,496,616,261,481,143,2139,20,12,32,12,4,8,8,13,8,6525,133603,0.62,71.69,66.84,0.42,0.39,0.74,34.28,11.69,22.59,31.41,10.72,20.69,0.52,0.36,0.68,0.75,0.5,0.62,17.44,15.44,1.13,4.94,8.62,176.46,518,156.35,42.92,558,84.38,1097,21.23,276,12.15,158,6525,501.92,0
3,SAC,WE,6,N,,,,780,1945,494,653,112,395,301,648,949,500,675,247,456,109,2166,815,1944,515,681,149,453,352,723,1075,493,633,233,496,128,2294,14,18,32,10,6,4,12,8,13,6575,144179,0.44,67.69,71.69,0.4,0.28,0.76,29.66,9.41,20.25,33.59,11.0,22.59,0.47,0.29,0.65,0.62,0.25,0.38,15.62,14.25,1.1,3.41,7.72,154.71,469,154.45,35.71,500,67.79,949,17.64,247,7.79,109,6575,469.64,1
4,SAC,WE,3,Y,W,L,,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,19,15,34,12,5,7,10,13,11,6825,155578,0.56,67.62,65.18,0.41,0.32,0.68,31.38,10.26,21.12,32.24,10.15,22.09,0.49,0.32,0.68,0.71,0.41,0.54,16.71,13.56,1.23,3.59,8.74,209.0,469,152.29,51.64,568,97.0,1067,27.0,297,11.09,122,6825,620.45,1
5,SAC,WE,4,Y,W,L,,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,18,16,34,10,7,8,9,12,10,6900,147544,0.53,68.0,65.91,0.42,0.35,0.72,30.12,11.44,18.68,29.0,9.12,19.88,0.51,0.37,0.67,0.59,0.47,0.55,15.26,14.26,1.07,3.47,9.24,192.67,494,145.1,43.25,519,85.33,1024,26.17,314,9.83,118,6900,575.0,1
6,SAC,WE,1,Y,W,W,W,853,1986,494,721,129,360,369,674,1043,527,684,304,500,108,2329,751,1823,478,653,113,376,273,694,967,463,723,235,622,132,2093,25,9,34,15,2,10,7,17,5,6800,145213,0.74,68.5,61.56,0.43,0.36,0.69,30.68,10.85,19.82,28.44,8.03,20.41,0.52,0.35,0.71,0.88,0.59,0.77,15.5,14.71,1.05,3.18,8.94,187.75,469,142.42,42.75,513,84.5,1014,24.0,288,8.58,103,6591,549.25,1
